"","id","time","production"
"738","CAF",2004,0
"739","CAF",2005,0
"740","CAF",2006,0
"741","CAF",2007,0
"742","CAF",2008,0
"743","CAF",2009,0
"744","CAF",2010,0
"745","CAN",1980,44272.7179998511
"746","CAN",1981,44818.9047568725
"747","CAN",1982,49146.3875078142
"748","CAN",1983,58243.3924812835
"749","CAN",1984,83530.8865648132
"750","CAN",1985,50653.6492144835
"751","CAN",1986,44929.1691144803
"752","CAN",1987,51893.9596417037
"753","CAN",1988,57591.8816229504
"754","CAN",1989,53712.028025358
"755","CAN",1990,58515.0582016003
"756","CAN",1991,62224.6011286163
"757","CAN",1992,71581.1349760067
"758","CAN",1993,50113.8722855882
"759","CAN",1994,61930.7015833831
"760","CAN",1995,56184.6098678875
"761","CAN",1996,47745.3848100436
"762","CAN",1997,75719.6953586364
"763","CAN",1998,46607.4429754561
"764","CAN",1999,54613.3800669169
"765","CAN",2000,71736.9897845799
"766","CAN",2001,74441.3859513491
"767","CAN",2002,68100.2993358392
"768","CAN",2003,66233.6176917046
"769","CAN",2004,69670.0296012199
"770","CAN",2005,55801.186320343
"771","CAN",2006,52565.8837577862
"772","CAN",2007,76690.1654142648
"773","CAN",2008,61740.3001164591
"774","CAN",2009,60219.9589736909
"775","CAN",2010,79916.6158794653
"776","CHE",1980,31.4554113066196
"777","CHE",1981,30.806097471714
"778","CHE",1982,34.0919794785976
"779","CHE",1983,29.1527887475491
"780","CHE",1984,60.1530446696281
"781","CHE",1985,43.5402909660339
"782","CHE",1986,50.6638194298744
"783","CHE",1987,40.7600726938248
"784","CHE",1988,36.184121376276
"785","CHE",1989,27.3421503555775
"786","CHE",1990,50.7703365039825
"787","CHE",1991,51.6172896146774
"788","CHE",1992,31.0464628887176
"789","CHE",1993,40.3960067999363
"790","CHE",1994,42.152601287365
"791","CHE",1995,53.3590408301353
"792","CHE",1996,54.2640306377411
"793","CHE",1997,43.6016758000851
"794","CHE",1998,43.1345854592323
"795","CHE",1999,48.8216333341599
"796","CHE",2000,54.5583293747902
"797","CHE",2001,47.8821693122387
"798","CHE",2002,50.2251085138321
"799","CHE",2003,38.5312393963337
"800","CHE",2004,46.0069212770462
"801","CHE",2005,50.2957357430458
"802","CHE",2006,46.1313961291313
"803","CHE",2007,55.3394944524765
"804","CHE",2008,47.3222702419758
"805","CHE",2009,47.1473187232017
"806","CHE",2010,46.5902971255779
"807","CHL",1980,0
"808","CHL",1981,0
"809","CHL",1982,0
"810","CHL",1983,0
"811","CHL",1984,0
"812","CHL",1985,0
"813","CHL",1986,0
"814","CHL",1987,0
"815","CHL",1988,0
"816","CHL",1989,0
"817","CHL",1990,0
"818","CHL",1991,0
"819","CHL",1992,0
"820","CHL",1993,0
"821","CHL",1994,0
"822","CHL",1995,0
"823","CHL",1996,0
"824","CHL",1997,0
